category_list, market , funding_total_usd ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|iPad|Games|Augmented Reality|Computer Vision|Mobile|, Mobile ,700000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Interest Graph|Advertising|, Advertising ,5500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Entertainment|Sports|Real Time|Social Media|Video|Advertising|, Entertainment ,500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,6204822 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,3400000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Games|, Games ,200000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,199957 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Entertainment|Games|, Games ,50000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,14000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Travel|, Travel ,84440319 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Designers|Startups|Non Profit|Internet|, Designers ,2500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Finance|, Finance ,9478511 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Cars|Curated Web|, Curated Web , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Video Games|Games|Software|, Software ,200000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|Mobile|Internet|Education|, Education ,40000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Lifestyle|Content|Video|News|, Lifestyle , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Chat|Mobile|, Chat , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Digital Media|File Sharing|Content|Search|Cloud Computing|Enterprise Software|, File Sharing , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,40000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Tracking|Curated Web|, Curated Web ,43811 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Shopping|Cosmetics|Personal Health|Lifestyle|Fashion|E-Commerce|, E-Commerce ,50000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Doctors|Health Care|Health Care Information Technology|Video|Video Chat|, Video Chat , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,1450000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile Health|Health and Wellness|, Mobile Health ,2100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce ,4163132 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile Security|Mobile Devices|Tablets|Mobile|Security|, Mobile Security ,170000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Services|Health and Wellness|Health Care|, Health and Wellness ,30000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social Media|, Social Media ,500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Monetization|Content|Distribution|Film|Video|Marketplaces|Video on Demand|Photography|, Photography , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Fitness|, Fitness ,2572969 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Games|Contests|Television|Startups|Sales and Marketing|News|Music|Advertising|Mobile|Curated Web|, Sales and Marketing , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|SaaS|Predictive Analytics|Monetization|Mobile|, Predictive Analytics ,156000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Manufacturing|, Manufacturing ,30000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Financial Services|, Financial Services ,10000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce ,117000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce ,750000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|Analytics|Big Data|Enterprise Software|, Enterprise Software ,1500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Games|, Games ,1660000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,41250 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,204189 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,150000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|News|, News ,41000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,29750000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Publishing|Education|Parenting|Curated Web|, Curated Web ,1236454 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social Commerce|Art|E-Commerce|, Art ,2800000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Manufacturing|Hospitality|, Manufacturing ,1464128 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce ,6369507 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Technology|Big Data|Mobile|, Big Data ,5050000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,2580000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health and Wellness|, Health and Wellness ,325000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|Web Hosting|, Software ,100000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,15034750 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Web Tools|Android|iPhone|Web Development|Internet|Mobile|Sales and Marketing|Apps|Software|, Software ,250000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,1610541 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,615000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Search|Biotechnology|, Biotechnology ,111949900 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Blogging Platforms|Software|, Blogging Platforms ,50000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Sports|, Sports , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|News|, News ,1209701 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Real Estate|, Real Estate , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Finance|, Finance ,3452941 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hardware + Software|, Hardware + Software ,600000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Non Profit|Social Fundraising|, Social Fundraising ,400000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology ,16000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,50000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Textbooks|Software|, Software , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Services|, Services ,1856561 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Systems|Education|, Education ,4000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,200000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|DIY|Electronics|Software|, Software ,25000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,2000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Tourism|Software|, Tourism , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Finance|Marketplaces|E-Commerce|, E-Commerce ,118000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Presentations|Software|, Software ,250000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Cloud Computing|Web Development|Databases|Software|, Software ,5844811 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Outsourcing|Advertising|, Outsourcing , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile Commerce|E-Commerce|Payments|Software|, Software ,3000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Credit Cards|Mobile|, Mobile ,7000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,6785876 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce ,60000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Web Development|Internet|Software|, Software , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,383000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hardware + Software|, Hardware + Software ,2941000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,165000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology ,474116 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Finance|Software|, Software ,250000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,275000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33457 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Curated Web|, Curated Web ,966728 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,85000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Cloud Infrastructure|Corporate IT|Enterprise Software|, Corporate IT ,37644420 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social + Mobile + Local|Mobile Social|Mobile|MMO Games|Internet|Entertainment|Social Network Media|Consumers|Women|Games|, Mobile Social ,58000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Media|Advertising|, Advertising ,6000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Messaging|Video Chat|Facebook Applications|File Sharing|Software|Chat|Curated Web|, Curated Web , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Messaging|, Messaging ,939000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hospitality|, Hospitality , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Art|Beauty|Lifestyle|Music|Social Network Media|Fashion|Social Media|, Art ,300000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|Education|, Software ,95875000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Navigation|Tourism|E-Commerce|, Navigation ,80000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Task Management|Project Management|Networking|SaaS|Collaboration|Software|, Software , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,78089000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Apps|Mobile|Design|Photography|Finance|Creative|Software|, Photography ,25000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Transportation|, Transportation , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Finance|, Finance ,500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Wine And Spirits|E-Commerce|, Wine And Spirits ,2274716 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Video|Photography|Entertainment|News|, News , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social Network Media|Advertising|, Advertising ,25654560 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Maps|Virtual Worlds|Photography|Curated Web|, Maps , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Consumer Electronics|, Consumer Electronics ,17800000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Pharmaceuticals|Life Sciences|Biotechnology|Media|News|, Life Sciences ,5000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Dental|Biotechnology|, Biotechnology ,1000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,7650000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Corporate Training|Education|, Corporate Training ,1543920 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Semantic Web|Artificial Intelligence|Shopping|Personalization|Sales and Marketing|Web Development|Software|, Artificial Intelligence ,4100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Enterprise Software|, Enterprise Software ,1623640 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Finance|, Finance , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Data Centers|Internet|Services|Information Technology|, Services ,16000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Entertainment|, Entertainment , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Finance|, Finance , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|SaaS|Point of Sale|Software|, Software , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Artificial Intelligence|Technology|Fashion|, Fashion ,73047 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,2203975 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|iPhone|Android|Apps|Sports|Mobile|, Sports ,6700000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Enterprises|Enterprise Software|, Enterprise Software , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social Media|, Social Media ,1573976 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Bitcoin|, Bitcoin ,25000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,1629549 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,1600000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health and Wellness|, Health and Wellness ,3750000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Online Travel|Networking|Travel|, Online Travel ,1719583 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Communications Hardware|Internet|Web Development|VoIP|Contact Centers|Cloud Computing|Customer Service|Software|, Web Development ,75000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,133620 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|iPad|Consumer Electronics|Electronic Health Records|Software|, Electronic Health Records ,500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Customer Service|Software|, Customer Service ,5740000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,1465000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Enterprise Software|, Enterprise Software ,28000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,250000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,380000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Games|, Games ,503000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|3D Printing|Local|Marketplaces|Collaborative Consumption|, 3D Printing ,4500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Search|Visualization|Supply Chain Management|Manufacturing|3D|Curated Web|, 3D ,1200000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7500 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|3D|Online Shopping|E-Commerce|3D Technology|Internet|, 3D Technology ,240000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Drones|Manufacturing|, Drones ,35000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,909940 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,169500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hardware + Software|, Hardware + Software ,150000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,750000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce ,400000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce ,1250000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Physicians|Medical|3D|, Physicians , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,50000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Automotive|, Automotive , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biometrics|Robotics|Kinect|3D|Computer Vision|Software|, Software ,2670000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Retail|, Retail ,530000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Video|Games|, Video ,732064 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|3D Printing|, 3D Printing ,200000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,7436500 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|3D|Mobile|, Mobile ,2065000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Curated Web|, Curated Web ,475000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health and Wellness|Beauty|E-Commerce|Retail|Travel|, Health and Wellness ,750000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Visualization|Business Analytics|Enterprise Software|E-Commerce|, Business Analytics , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Brand Marketing|iPhone|Android|Mobile|B2B|Video Streaming|Music|, Mobile ,1700000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Music|, Music ,20000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,746185 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Semiconductors|, Semiconductors ,13708150 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
